    ,predict            ,ground_truth
0   ,32.00289535522461  ,31.899999618530273
1   ,31.906753540039062 ,31.899999618530273
2   ,31.92108917236328  ,31.899999618530273
3   ,31.912458419799805 ,31.899999618530273
4   ,31.959983825683594 ,31.899999618530273
5   ,31.94059181213379  ,32.0
6   ,32.057369232177734 ,31.899999618530273
7   ,31.89876365661621  ,31.899999618530273
8   ,31.921030044555664 ,32.10000228881836
9   ,32.12606430053711  ,32.20000076293945
10  ,32.14396286010742  ,32.20000076293945
11  ,32.144134521484375 ,32.20000076293945
12  ,32.13007354736328  ,32.20000076293945
13  ,32.106048583984375 ,32.5
14  ,32.45627212524414  ,32.60000228881836
15  ,32.389591217041016 ,32.70000076293945
16  ,32.48627471923828  ,32.70000076293945
17  ,32.51987075805664  ,32.70000076293945
18  ,32.47649383544922  ,32.70000076293945
19  ,32.438560485839844 ,33.0
20  ,32.79920959472656  ,33.10000228881836
21  ,32.82053756713867  ,32.79999923706055
22  ,32.4747314453125   ,32.79999923706055
23  ,32.56986999511719  ,32.60000228881836
24  ,32.32481384277344  ,32.60000228881836
25  ,32.40547180175781  ,32.79999923706055
26  ,32.609554290771484 ,33.0
27  ,32.78083801269531  ,33.0
28  ,32.74798583984375  ,33.10000228881836
29  ,32.8096923828125   ,33.0
30  ,32.643680572509766 ,32.900001525878906
31  ,32.60797119140625  ,32.900001525878906
32  ,32.64279556274414  ,32.900001525878906
33  ,32.6119384765625   ,32.79999923706055
34  ,32.55274200439453  ,32.60000228881836
35  ,32.360801696777344 ,32.5
36  ,32.371822357177734 ,32.5
37  ,32.4243049621582   ,32.60000228881836
38  ,32.450626373291016 ,32.60000228881836
39  ,32.460670471191406 ,32.79999923706055
40  ,32.63813018798828  ,32.70000076293945
41  ,32.47515106201172  ,32.60000228881836
42  ,32.39433288574219  ,32.70000076293945
43  ,32.52639389038086  ,32.79999923706055
44  ,32.566524505615234 ,32.79999923706055
45  ,32.597652435302734 ,32.79999923706055
46  ,32.57444381713867  ,32.70000076293945
47  ,32.44850158691406  ,32.60000228881836
48  ,32.34722900390625  ,32.70000076293945
49  ,32.47060775756836  ,32.70000076293945
50  ,32.50820541381836  ,32.60000228881836
51  ,32.39394760131836  ,32.60000228881836
52  ,32.425968170166016 ,32.60000228881836
53  ,32.402427673339844 ,32.60000228881836
54  ,32.443817138671875 ,32.60000228881836
55  ,32.4383544921875   ,32.60000228881836
56  ,32.47304153442383  ,32.5
57  ,32.33902359008789  ,32.400001525878906
58  ,32.224735260009766 ,32.29999923706055
59  ,32.19623947143555  ,32.20000076293945
60  ,32.132057189941406 ,32.20000076293945
61  ,32.14350509643555  ,32.10000228881836
62  ,32.01025390625     ,32.29999923706055
63  ,32.27021789550781  ,32.5
64  ,32.37226104736328  ,32.5
65  ,32.35752487182617  ,32.29999923706055
66  ,32.131561279296875 ,32.29999923706055
67  ,32.17733383178711  ,32.5
68  ,32.44617462158203  ,32.5
69  ,32.32828903198242  ,32.79999923706055
70  ,32.668853759765625 ,32.900001525878906
71  ,32.64298629760742  ,33.0
72  ,32.70946502685547  ,33.0
73  ,32.69679260253906  ,33.29999923706055
74  ,32.936279296875    ,33.5
75  ,33.094974517822266 ,33.60000228881836
76  ,33.1688232421875   ,33.60000228881836
77  ,33.13798522949219  ,33.60000228881836
78  ,33.196502685546875 ,33.70000076293945
79  ,33.26325988769531  ,33.79999923706055
80  ,33.32185745239258  ,34.0
81  ,33.51150894165039  ,33.900001525878906
82  ,33.341670989990234 ,33.79999923706055
83  ,33.30608367919922  ,33.70000076293945
84  ,33.16532516479492  ,33.70000076293945
85  ,33.18795394897461  ,33.70000076293945
86  ,33.29364013671875  ,33.5
87  ,33.01362609863281  ,33.29999923706055
88  ,32.91756820678711  ,33.20000076293945
89  ,32.79670715332031  ,33.10000228881836
90  ,32.73849105834961  ,33.0
91  ,32.63248062133789  ,32.900001525878906
92  ,32.61787414550781  ,32.900001525878906
93  ,32.661075592041016 ,32.60000228881836
94  ,32.3163948059082   ,32.60000228881836
95  ,32.4771728515625   ,32.400001525878906
96  ,32.18303298950195  ,32.20000076293945
97  ,32.089942932128906 ,32.20000076293945
98  ,32.17247772216797  ,32.0
99  ,31.93182373046875  ,31.899999618530273
100 ,31.965110778808594 ,31.899999618530273
101 ,31.970460891723633 ,32.0
102 ,32.085235595703125 ,32.10000228881836
103 ,32.079627990722656 ,32.20000076293945
104 ,32.163360595703125 ,32.400001525878906
105 ,32.36696243286133  ,32.60000228881836
106 ,32.46396255493164  ,32.5
107 ,32.27529525756836  ,32.60000228881836
108 ,32.369659423828125 ,32.5
109 ,32.28535079956055  ,32.60000228881836
110 ,32.36864471435547  ,32.70000076293945
111 ,32.43758010864258  ,32.70000076293945
112 ,32.43338394165039  ,32.79999923706055
113 ,32.5698356628418   ,33.0
114 ,32.74788284301758  ,33.10000228881836
115 ,32.752716064453125 ,33.5
116 ,33.15382766723633  ,33.60000228881836
117 ,33.13920974731445  ,33.900001525878906
118 ,33.424808502197266 ,33.900001525878906
119 ,33.327152252197266 ,33.900001525878906
120 ,33.26164627075195  ,34.10000228881836
121 ,33.56614303588867  ,34.10000228881836
122 ,33.50020980834961  ,34.20000076293945
123 ,33.53614044189453  ,34.29999923706055
124 ,33.67744445800781  ,34.400001525878906
125 ,33.776065826416016 ,34.20000076293945
126 ,33.52011489868164  ,34.0
127 ,33.37567138671875  ,33.900001525878906
128 ,33.35108947753906  ,33.900001525878906
129 ,33.3370361328125   ,33.70000076293945
130 ,33.15258026123047  ,33.5
